school,source_url,enabled
# 請在下一行開始加入學校資料，例如：
# 國立範例大學,https://example.edu.tw/sports/news,true
延平國小,https://www.ypps.tp.edu.tw/nss/p/index,true
長春國小,https://www.ccps.tp.edu.tw/nss/p/index,true
中山國小,https://www.csps.tp.edu.tw/nss/p/index,true
金華國中,https://www.chwjh.tp.edu.tw/nss/p/index,true
#華江國小,政府網站
銘傳國小,https://www.mhps.tp.edu.tw/nss/p/index,true
#敦化國小,政府網站
忠孝國中,https://www.chjh.tp.edu.tw/category/news/,true
興雅國中,https://www.syajh.tp.edu.tw/,true
興雅國小,https://www.hyps.tp.edu.tw/nss/p/index,true
#介壽國中,政府網站
中崙高中,https://www.zlsh.tp.edu.tw/category/news/news_01/,true
民族實驗中學,https://www.mtjh.tp.edu.tw/nss/p/index,true
永吉國中,https://www.yjjh.tp.edu.tw/category/news/,true
弘道國中,https://www.htjh.tp.edu.tw/category/news/news1/,true
和平高中,https://www.hpsh.tp.edu.tw/nss/p/index,true
民權國小,https://www.mqes.tp.edu.tw/nss/p/index,true
光復國小,https://www.kfps.tp.edu.tw/nss/p/index,true
